                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4448,                 5.0825,                0.75191,                  8.172,                 3.0245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6437,                 4.2969,                0.66792,                 5.0275,                 3.7936,                      0,                      0,                      0
                      2,                 3.7642,                 5.4108,                 0.7517,                 6.2304,                 3.1652,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6548,                 4.2965,                0.66828,                 4.8244,                 3.8151,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 3.6671,                 5.0257,                0.69788,                 7.6171,                 3.2504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6238,                 4.8189,                0.67263,                 4.2567,                 3.4459,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 2.7854,                 4.4785,                0.69563,                 7.2293,                 2.5808,                0.01163,                    0.5,                0.04797,                0.01236,                0.02326,                      1,                0.05686,                0.01231,                  3.426,                 4.8428,                0.67665,                 3.4661,                 2.7445,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 2.4424,                 4.8612,                0.70698,                  4.471,                  2.364,                0.03469,                    0.5,                0.24991,                0.15018,                0.01887,                      1,                0.11056,                0.02322,                 2.1475,                 4.8247,                0.67528,                 2.9493,                 1.8377,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 3.3082,                 4.3981,                0.68444,                 5.0932,                  3.014,                0.22409,                    0.5,                 0.4968,                0.28212,                0.05204,                    0.5,                0.14662,                0.03013,                 1.6833,                 4.6068,                0.67507,                 2.5717,                 1.6864,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 3.1107,                 4.5861,                0.71871,                 3.0976,                 2.7927,                0.42516,                    0.5,                0.50362,                0.27045,                0.01099,                      1,                 0.0603,                0.01039,                 1.8312,                 4.4963,                 0.6744,                 2.3482,                 1.6251,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 2.1755,                  4.373,                 0.7212,                 3.3172,                 2.1329,                0.43951,                    0.5,                0.26032,                 0.1452,                0.01036,                      1,                0.05103,                0.00961,                 1.8953,                 4.4828,                0.67636,                 2.3573,                 1.6326,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 2.7753,                 5.0675,                0.73967,                 2.5997,                 2.5436,                0.43866,                    0.5,                0.26363,                0.14559,                 0.0098,                      1,                0.09045,                0.01467,                 1.8891,                   4.52,                0.67853,                  2.258,                 1.5872,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 2.7106,                 4.8366,                0.75939,                 3.4292,                 2.4149,                0.44043,                    0.5,                0.26445,                0.13745,                0.00966,                      1,                0.08652,                0.01223,                    1.9,                 4.5111,                0.67944,                 2.2811,                 1.5975,              1.962e-05,              1.962e-05,              1.962e-05
